player,match_id,date,season,team,opposition,venue,total_score,batting_score,bowling_score,avg_score,weighted_avg_score,num_matches,recent_score,venue_avg_score,venue_std_score,venue_recent_score,num_venue_matches,venue_batting_avg,venue_bowling_avg,opposition_avg_score,opposition_std_score,num_opposition_matches,opposition_batting_avg,opposition_bowling_avg,venue_opposition_avg,venue_opposition_std,recent_venue_avg,recent_venue_std,recent_opposition_avg,recent_opposition_std,avg_1st_innings_bat_score,avg_2nd_innings_bat_score,avg_1st_innings_bowl_score,avg_2nd_innings_bowl_score,recent_5_avg,recent_5_std,recent_10_avg,recent_10_std,recent_20_avg,recent_20_std,batting_avg,bowling_avg,batting_matches,bowling_matches,recent_batting_avg,recent_bowling_avg,average_balls_faced,average_balls_bowled,average_balls_faced_at_venue,average_balls_bowled_at_venue,strike_rate_batting,strike_rate_bowling,economy_rate_bowling,score_std,recent_score_std,form_trend,avg_days_between_matches,avg_rank_last_5,top_11_count_last_5
Conway,202324,2023-04-17,,CSK,RCB,"M.Chinnaswamy Stadium, Bengaluru",161,161,0,60.90909090909091,59.489062183559795,11,45.6,60.90909090909091,67.4573265782962,45.6,0,57.27272727272727,0.0,104.0,67.4573265782962,1,104.0,0.0,60.90909090909091,67.4573265782962,60.90909090909091,67.4573265782962,104.0,67.4573265782962,63.714285714285715,94.0,0.0,0.0,45.6,49.47019304591402,66.7,68.16328434966535,60.90909090909091,67.4573265782962,57.27272727272727,0.0,11,0,39.2,0.0,22.727272727272727,0.0,22.727272727272727,0.0,1.4,0.0,0.0,67.4573265782962,49.47019304591402,2.5,38.2,12.8,3
Conway,202329,2023-04-21,,CSK,SRH,"MA Chidambaram Stadium, Chennai",145,145,0,69.25,70.93551090676728,12,71.0,97.5,3.5355339059327378,97.5,2,85.5,0.0,157.0,70.50999284434151,1,157.0,0.0,69.25,70.50999284434151,97.5,3.5355339059327378,157.0,70.50999284434151,75.875,94.0,0.0,0.0,71.0,70.26023057178222,67.1,68.76118090899836,69.25,70.50999284434151,65.91666666666667,0.0,12,0,66.2,0.0,24.583333333333332,0.0,33.5,0.0,1.4677966101694915,0.0,0.0,70.50999284434151,70.26023057178222,81.50000000000001,35.18181818181818,11.2,3
Conway,202333,2023-04-23,,CSK,KKR,"Eden Gardens, Kolkata",108,100,0,75.07692307692308,78.52148651980751,13,99.8,75.07692307692308,70.7017933983544,99.8,0,72.0,0.0,3.0,70.7017933983544,1,3.0,0.0,75.07692307692308,70.7017933983544,75.07692307692308,70.7017933983544,3.0,70.7017933983544,75.875,111.0,0.0,0.0,99.8,63.59009356810226,71.2,72.33533023357258,75.07692307692308,70.7017933983544,72.0,0.0,13,0,95.0,0.0,27.076923076923077,0.0,27.076923076923077,0.0,1.4488636363636365,0.0,0.0,70.7017933983544,63.59009356810226,22.500000000000036,32.583333333333336,7.0,4
Conway,202337,2023-04-27,,CSK,RR,"Sawai Mansingh Stadium, Jaipur",8,8,0,77.42857142857143,81.10351230025053,14,102.4,77.42857142857143,68.49560826540889,102.4,0,74.0,0.0,67.0,46.66904755831214,2,55.0,0.0,77.42857142857143,68.49560826540889,77.42857142857143,68.49560826540889,67.0,46.66904755831214,78.55555555555556,111.0,0.0,0.0,102.4,63.61053371887395,64.5,64.3104449785051,77.42857142857143,68.49560826540889,74.0,0.0,14,0,97.6,0.0,28.0,0.0,28.0,0.0,1.4438775510204083,0.0,0.0,68.49560826540889,63.61053371887395,-26.499999999999957,30.23076923076923,6.8,4
Conway,202341,2023-04-30,,CSK,PBKS,"MA Chidambaram Stadium, Chennai",180,180,0,72.8,74.55383825327262,15,104.4,113.33333333333333,27.53785273643051,113.33333333333333,3,105.33333333333333,0.0,72.8,68.39507083325314,0,69.6,0.0,72.8,68.39507083325314,113.33333333333333,27.53785273643051,72.8,68.39507083325314,78.55555555555556,85.25,0.0,0.0,104.4,59.53402388550601,65.5,63.23017915169587,72.8,68.39507083325314,69.6,0.0,15,0,99.6,0.0,27.2,0.0,41.333333333333336,0.0,1.4068627450980393,0.0,0.0,68.39507083325314,59.53402388550601,-68.49999999999999,28.357142857142858,5.8,4
Conway,202349,2023-05-06,,CSK,MI,"MA Chidambaram Stadium, Chennai",64,64,0,79.5,82.95599381989628,16,120.4,130.0,40.2077936060494,130.0,4,124.0,0.0,-2.0,0.0,2,-2.0,0.0,79.5,71.30404383109465,130.0,40.2077936060494,-2.0,0.0,88.7,85.25,0.0,0.0,120.4,68.17844234066953,83.0,68.61324782997652,79.5,71.30404383109465,76.5,0.0,16,0,118.8,0.0,28.75,0.0,44.0,0.0,1.4478260869565218,0.0,0.0,71.30404383109465,68.17844234066953,36.00000000000003,26.666666666666668,5.4,4
Conway,202355,2023-05-10,,CSK,DC,"MA Chidambaram Stadium, Chennai",14,14,0,78.58823529411765,81.27252904769257,17,101.0,116.8,45.64756291413595,116.8,5,112.0,0.0,175.0,69.14211707014168,1,167.0,0.0,78.58823529411765,69.14211707014168,116.8,45.64756291413595,175.0,69.14211707014168,88.7,81.0,0.0,0.0,101.0,67.53517601961218,86.0,66.86636756330579,78.58823529411765,69.14211707014168,75.76470588235294,0.0,17,0,99.4,0.0,29.529411764705884,0.0,43.6,0.0,1.4143426294820718,0.0,0.0,69.14211707014168,67.53517601961218,28.000000000000014,25.375,6.2,4
Conway,202361,2023-05-14,,CSK,KKR,"MA Chidambaram Stadium, Chennai",46,46,0,75.0,76.10787654841474,18,74.8,99.66666666666667,58.551401918883776,100.6,6,95.66666666666667,0.0,55.5,74.24621202458749,2,51.5,0.0,75.0,68.7835479645259,100.6,65.41253702464077,55.5,74.24621202458749,81.9090909090909,81.0,0.0,0.0,74.8,71.49265696559333,87.3,65.1341351025371,75.0,68.7835479645259,72.33333333333333,0.0,18,0,73.2,0.0,28.61111111111111,0.0,38.5,0.0,1.3980582524271845,0.0,0.0,68.7835479645259,71.49265696559333,-83.00000000000001,24.11764705882353,9.8,3
Conway,202367,2023-05-20,,CSK,DC,"Arun Jaitley Stadium, Delhi",165,165,0,73.47368421052632,73.83852894001228,19,62.4,73.47368421052632,67.1758624152163,62.4,0,70.94736842105263,0.0,94.5,113.84419177103415,2,90.5,0.0,73.47368421052632,67.1758624152163,73.47368421052632,67.1758624152163,94.5,113.84419177103415,78.91666666666667,81.0,0.0,0.0,62.4,69.6476848143569,82.4,66.32277972997747,73.47368421052632,67.1758624152163,70.94736842105263,0.0,19,0,62.4,0.0,28.57894736842105,0.0,28.57894736842105,0.0,1.3812154696132597,0.0,0.0,67.1758624152163,69.6476848143569,-9.000000000000002,23.0,10.2,3
Conway,202371,2023-05-23,,CSK,GT,"MA Chidambaram Stadium, Chennai",76,60,0,78.05,79.96979797379949,20,93.8,92.0,57.16933910177144,89.8,7,88.57142857142857,0.0,3.0,2.8284271247461903,2,3.0,0.0,78.05,68.51236922514143,89.8,69.8441121355265,3.0,2.8284271247461903,85.53846153846153,81.0,0.0,0.0,93.8,74.23072140293398,99.1,63.682284297387866,78.05,68.51236922514143,75.65,0.0,20,0,93.8,0.0,29.75,0.0,37.0,0.0,1.4067226890756304,0.0,0.0,68.51236922514143,74.23072140293398,75.50000000000003,22.105263157894736,6.8,4
