features_player,roster_name,team,role,geography,confidence
Suryakumar Yadav,Suryakumar Yadav,MI,Batter,Indian,100
Rasikh Salam,,,,,73
Nortje,Anrich Nortje,KKR,Bowler,Overseas,90
Sarfaraz Khan,,,,,67
Gowtham,,,,,53
Warner,,,,,66
Sai Sudharsan,Sai Sudharsan,GT,Batter,Indian,100
Bairstow,,,,,48
Darshan Nalkande,Darshan Nalkande,DC,All-rounder,Indian,100
Unadkat,Jaydev Unadkat,SRH,Bowler,Indian,90
Ramandeep Singh,Ramandeep Singh,KKR,Batter,Indian,100
Maxwell,Glenn Maxwell,PBKS,All-rounder,Overseas,90
M Theekshana,,,,,86
Marco Jansen,Marco Jansen,PBKS,All-rounder,Overseas,100
Kuldeep Sen,Kuldeep Sen,PBKS,Bowler,Indian,100
van der Dussen,,,,,67
Stoinis,Marcus Stoinis,PBKS,All-rounder,Overseas,90
Hazlewood,Josh Hazlewood,RCB,Bowler,Overseas,90
Prabhudessai,,,,,56
Yash Dayal,Yash Dayal,RCB,Bowler,Indian,100
J Suchith,,,,,57
Shashank Singh,Shashank Singh,PBKS,Batter,Indian,100
Aman Hakim Khan,,,,,86
Finch,,,,,54
Mitchell Marsh,Mitchell Marsh,LSG,All-rounder,Overseas,100
(sub)Gowtham,,,,,0
Alzarri Joseph,,,,,74
W Saha,,,,,60
Prabhsimran,Prabhsimran Singh,PBKS,Batter,Indian,90
Obed McCoy,,,,,45
Nathan Ellis,Nathan Ellis,CSK,Bowler,Overseas,100
Meredith,,,,,48
Hrithik Shokeen,,,,,57
Rinku Singh,Rinku Singh,KKR,Batter,Indian,100
Rishi Dhawan,,,,,70
Rajat Patidar,Rajat Patidar,RCB,Batter,Indian,100
Harshit Rana,Harshit Rana,KKR,Bowler,Indian,100
Indrajith,,,,,60
Chetan Sakariya,,,,,57
Kumar Kartikeya,Kumar Kartikeya Singh,RR,Bowler,Indian,95
Sangwan,,,,,64
Lomror,Mahipal Lomror,GT,All-rounder,Indian,90
Simarjeet Singh,Simarjeet Singh,SRH,Bowler,Indian,100
Anukul Roy,Anukul Roy,KKR,All-rounder,Indian,100
(sub)Prabhudessai,,,,,0
Ripal Patel,,,,,75
Shreyas Gopal,Shreyas Gopal,CSK,Bowler,Indian,100
