,,,,,
,S.No,Name,Team,Role,Geography
,116,Rishabh Pant,LSG,Wicketkeeper/Batter,Indian
,117,Aryan Juyal,LSG,Wicketkeeper/Batter,Indian
,118,Hardik Pandya,MI,All-rounder,Indian
,119,Naman Dhir,MI,All-rounder,Indian
,120,Will Jacks (England),MI,All-rounder,Overseas
,121,Mitchell Santner (New Zealand),MI,All-rounder,Overseas
,122,Raj Bawa,MI,All-rounder,Indian
,123,Corbin Bosch (South Africa),MI,All-rounder,Overseas
,124,Vignesh Puthur,MI,All-rounder,Indian
,125,Suryakumar Yadav,MI,Batter,Indian
,126,Rohit Sharma,MI,Batter,Indian
,127,Tilak Varma,MI,Batter,Indian
,128,Ryan Rickelton (South Africa),MI,Batter,Overseas
,129,Bevon Jacobs (New Zealad),MI,Batter,Overseas
,130,Jasprit Bumrah,MI,Bowler,Indian
,131,Trent Boult (New Zealand),MI,Bowler,Overseas
,132,Karn Sharma,MI,Bowler,Indian
,133,Deepak Chahar,MI,Bowler,Indian
,134,Mujeeb-ur-Rahman (Afghanistan),MI,Bowler,Overseas
,135,Ashwani Kumar,MI,Bowler,Indian
,136,Reece Topley (England),MI,Bowler,Overseas
,137,Shrijith Krishnan,MI,Bowler,Indian
,138,Satyanarayana Raju,MI,Bowler,Indian
,139,Arjun Tendulkar,MI,Bowler,Indian
,140,Robin Minz,MI,Wicketkeeper/Batter,Indian
,141,Marcus Stoinis (Australia),PBKS,All-rounder,Overseas
,142,Glenn Maxwell (Australia),PBKS,All-rounder,Overseas
,143,Harpreet Brar,PBKS,All-rounder,Indian
,144,Marco Jansen (South Africa),PBKS,All-rounder,Overseas
,145,Azmatullah Omarzai (Afghanistan),PBKS,All-rounder,Overseas
,146,Aaron Hardie (Australia),PBKS,All-rounder,Overseas
,147,Suryash Shedge,PBKS,All-rounder,Indian
,148,Musheer Khan,PBKS,All-rounder,Indian
,149,Praveen Dubey,PBKS,All-rounder,Indian
,150,Shashank Singh,PBKS,Batter,Indian
,151,Prabhsimran Singh,PBKS,Batter,Indian
,152,Nehal Wadhera,PBKS,Batter,Indian
,153,Josh Inglis (Australia),PBKS,Batter,Overseas
,154,Harnoor Pannu,PBKS,Batter,Indian
,155,Priyansh Arya,PBKS,Batter,Indian
,156,Pyla Avinash,PBKS,Batter,Indian
,157,Arshdeep Singh,PBKS,Bowler,Indian
,158,Yuzvendra Chahal,PBKS,Bowler,Indian
,159,Vijaykumar Vyshak,PBKS,Bowler,Indian
,160,Yash Thakur,PBKS,Bowler,Indian
,161,Lockie Ferguson (New Zealand),PBKS,Bowler,Overseas
,162,Kuldeep Sen,PBKS,Bowler,Indian
,163,Xavier Bartlett,PBKS,Bowler,Overseas
,164,Shreyas Iyer,PBKS,Batter,Indian
,165,Vishnu Vinod,PBKS,Wicketkeeper/Batter,Indian
,166,Nitish Rana,RR,All-rounder,Indian
,167,Yudhvir Charak,RR,All-rounder,Indian
,168,Yashasvi Jaiswal,RR,Batter,Indian
,169,Riyan Parag,RR,Batter,Indian
,170,Shimron Hetmyer (West Indies),RR,Batter,Overseas
,171,Shubham Dubey,RR,Batter,Indian
,172,Vaibhav Suryavanshi,RR,Batter,Indian
,173,Kunal Singh Rathore,RR,Batter,Indian
,174,Sanju Samson,RR,Wicketkeeper/Batter,Indian
,175,Dhruv Jurel,RR,Wicketkeeper/Batter,Indian
,176,Sandeep Sharma,RR,Bowler,Indian
,177,Jofra Archer (England),RR,Bowler,Overseas
,178,Mahesh Theekshana (Sri Lanka),RR,Bowler,Overseas
,179,Wanindu Hasaranga (Sri Lanka),RR,Bowler,Overseas
,180,Akash Madhwal,RR,Bowler,Indian
,181,Kumar Kartikeya Singh,RR,Bowler,Indian
,182,Tushar Deshpande,RR,Bowler,Indian
,183,Fazalhaq Farooqi,RR,Bowler,Overseas
,184,Kwena Maphaka (South Africa),RR,Bowler,Overseas
,185,Ashok Sharma,RR,Bowler,Indian
,186,Liam Livingstone (England),RCB,All-rounder,Overseas
,187,Krunal Pandya,RCB,All-rounder,Indian
,188,Swapnil Singh,RCB,All-rounder,Indian
,189,Tim David (Australia),RCB,All-rounder,Overseas
,190,Romario Shepherd (West Indies),RCB,All-rounder,Overseas
,191,Jacob Bethell (England),RCB,All-rounder,Overseas
,192,Virat Kohli,RCB,Batter,Indian
,193,Rajat Patidar,RCB,Batter,Indian
,194,Jitesh Sharma,RCB,Wicketkeeper/Batter,Indian
,195,Devdutt Padikkal,RCB,Batter,Indian
,196,Swastik Chikara,RCB,Batter,Indian
,197,Yash Dayal,RCB,Bowler,Indian
,198,Josh Hazlewood (Australia),RCB,Bowler,Overseas
,199,Rasikh Dar,RCB,Bowler,Indian
,200,Suyash Sharma,RCB,Bowler,Indian
,201,Bhuvneshwar Kumar,RCB,Bowler,Indian
,202,Nuwan Thushara (Sri Lanka),RCB,Bowler,Overseas
,203,Manoj Bhandage,RCB,Bowler,Indian
,204,Mohit Rathee,RCB,Bowler,Indian
,205,Abhinandan Singh,RCB,Bowler,Indian
,206,Lungi Ngidi,RCB,Bowler,Overseas
,207,Phil Salt (England),RCB,Wicketkeeper/Batter,Overseas
,208,Abhishek Sharma,SRH,All-rounder,Indian
,209,Nitish Kumar Reddy,SRH,All-rounder,Indian
,210,Harshal Patel,SRH,All-rounder,Indian
,211,Atharva Taide,SRH,All-rounder,Indian
,212,Abhinav Manohar,SRH,All-rounder,Indian
,213,Wiaan Mulder (South Africa),SRH,All-rounder,Overseas
,214,Kamindu Mendis (Sri Lanka),SRH,All-rounder,Overseas
,215,Heinrich Klaasen (South Africa),SRH,Wicketkeeper/Batter,Overseas
,216,Travis Head (Australia),SRH,Batter,Overseas
,217,Aniket Verma,SRH,Batter,Indian
,218,Sachin Baby,SRH,Batter,Indian
,219,Pat Cummins (Australia),SRH,Bowler,Overseas
,220,Mohammad Shami,SRH,Bowler,Indian
,221,Rahul Chahar,SRH,Bowler,Indian
,222,Adam Zampa (Australia),SRH,Bowler,Overseas
,223,Simarjeet Singh,SRH,Bowler,Indian
,224,Zeeshan Ansari,SRH,Bowler,Indian
,225,Jaydev Unadkat,SRH,Bowler,Indian
,226,Eshan Malinga (Sri Lanka),SRH,Bowler,Overseas
,227,Ishan Kishan,SRH,Wicketkeeper/Batter,Indian
